route_id,origin,destination,mode,distance_km,base_fare_lkr,avg_travel_time_hours,difficulty,service_quality,peak_hours
R001,Colombo,Kandy,train,120,250,3.0,2,excellent,"6-9,16-19"
R002,Colombo,Kandy,bus,120,180,3.5,3,good,"5-10,15-20"
R003,Colombo,Galle,train,120,200,2.5,1,excellent,"6-8,17-19"
R004,Colombo,Galle,bus,120,150,3.0,2,good,"5-9,16-20"
R005,Colombo,Anuradhapura,train,205,300,4.5,2,good,"6-8,15-17"
R006,Colombo,Anuradhapura,bus,205,250,5.0,3,fair,"5-8,14-18"
R007,Colombo,Negombo,bus,40,100,1.0,1,excellent,"6-10,16-21"
R008,Colombo,Trincomalee,bus,257,450,7.0,4,fair,"5-7,14-16"
R009,Colombo,Jaffna,train,395,500,9.0,3,good,"6-7,15-16"
R010,Colombo,Jaffna,bus,395,450,8.5,3,good,"5-8,14-17"
R011,Colombo,Matara,bus,160,220,4.0,2,good,"5-9,15-19"
R012,Kandy,Dambulla,bus,72,120,2.5,3,good,"6-9,15-18"
R013,Kandy,Ella,train,137,280,7.0,4,excellent,"6-7,14-15"
R014,Kandy,Ella,bus,137,220,5.5,4,good,"5-8,14-17"
R015,Kandy,Nuwara Eliya,bus,77,150,3.0,3,good,"6-9,15-18"
R016,Kandy,Polonnaruwa,bus,105,180,3.5,3,fair,"6-8,14-16"
R017,Galle,Matara,bus,40,80,1.5,1,good,"6-10,16-20"
R018,Sigiriya,Dambulla,bus,20,50,0.5,2,good,"7-9,15-17"
R019,Sigiriya,Dambulla,tuk-tuk,20,200,0.75,4,fair,"8-17"
R020,Dambulla,Anuradhapura,bus,70,100,2.0,2,good,"6-8,15-17"
R021,Anuradhapura,Jaffna,bus,135,200,3.5,3,good,"6-9,14-17"
R022,Ella,Nuwara Eliya,bus,60,150,2.5,4,good,"7-9,15-17"
R023,Ella,Badulla,bus,35,80,1.5,2,good,"6-10,15-18"
R024,Negombo,Colombo,bus,40,100,1.0,1,excellent,"5-22"
R025,Trincomalee,Polonnaruwa,bus,110,180,3.0,3,fair,"6-8,14-16"
R026,Trincomalee,Batticaloa,bus,120,200,3.5,3,fair,"6-8,14-16"
R027,Jaffna,Anuradhapura,bus,135,200,3.5,3,fair,"6-9,14-17"
R028,Matara,Galle,bus,40,80,1.5,1,good,"5-10,15-20"
R029,Polonnaruwa,Dambulla,bus,87,130,2.5,2,fair,"6-8,15-17"
R030,Batticaloa,Badulla,bus,145,250,5.0,4,fair,"6-7,14-15"
R031,Kandy,Colombo,train,120,250,3.0,2,excellent,"6-9,16-19"
R032,Kandy,Colombo,bus,120,180,3.5,3,good,"5-10,15-20"
R033,Galle,Colombo,train,120,200,2.5,1,excellent,"6-8,17-19"
R034,Galle,Colombo,bus,120,150,3.0,2,good,"5-9,16-20"
